language,language_code,script,n_dreams,avg_anxiety,avg_hostility,avg_alienation,pct_natural_settings,pct_domestic_settings,pct_urban_settings,pct_mythical_settings,pct_high_agency,pct_balanced_agency,pct_low_agency,pct_journey_quest,pct_idyllic_experience,pct_discovery_exploration,pct_return_reunion,pct_nature_connection,pct_spiritual_orientation,pct_collectivist,pct_individualist,pct_respect_wisdom,pct_light_symbol,pct_water_symbol,pct_tree_symbol,avg_animal_characters,avg_mythical_characters,avg_authority_figures,avg_positive_affect,avg_peace,avg_wonder,avg_movement_activity,avg_social_activity,avg_exploration_activity
english,en,Latin,100,0.0,0.0,0.7152287157287156,189.0,11.0,13.0,33.0,89.0,10.0,1.0,72.0,14.000000000000002,7.000000000000001,3.0,57.99999999999999,18.0,2.0,2.0,15.0,65.0,44.0,64.0,0.37,0.0,0.4,1.25,2.55,0.69,0.6,0.51,0.34
basque,eu,Latin,75,0.0,0.013333333333333334,0.013333333333333334,2.666666666666667,0.0,0.0,0.0,17.333333333333336,82.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333333333333334,0.0,0.0
hebrew,he,Hebrew,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serbian,sr,Cyrillic,100,0.0,0.0,0.0,3.0,0.0,0.0,0.0,38.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slovenian,sl,Latin,100,0.0,0.01,0.01,3.0,0.0,0.0,0.0,22.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
